,index,id,question,A,B,C,D,answerKey,choice_type,exp,subject_name,topic_name,full_question,full_question_test,res_finetuned
139,139,7254944a-e40f-40ee-931d-8769dd163301,What is the most frequently used restorative material?,Silicate,Amalgam,Composite,Gold,B,single,,Dental,,,Question: What is the most frequently used restorative material? (A) Silicate (B) Amalgam (C) Composite (D) Gold. The correct answer is  ," (C) Composite.


Answer: The most frequently used restorative material is composite. Composite resin is a tooth-colored material made of plastic and glass fibers that can be used for a variety of restorative procedures, including fillings, bondings, and veneers. It is a popular choice because it is durable, easy to use, and can be matched to the color of the surrounding teeth."
140,140,8604f600-1e0e-432d-8113-0bea0db44951,Which of following causes lysis of clot :,Fibrin,Plasmin,Hyaluronidase,Coagulase,B,single,,Physiology,,,Question: Which of following causes lysis of clot : (A) Fibrin (B) Plasmin (C) Hyaluronidase (D) Coagulase. The correct answer is  ," (B) Plasmin. Plasmin is an enzyme that breaks down fibrin clots by hydrolyzing the fibrin bonds. It is produced by various cell types, including macrophages, and plays a key role in the resolution of inflammation."
141,141,65bef933-00cc-4f7b-8ca0-a77f2fe92c57,Which of the following drug must be sold only on production of a prescription by a registered medical practitioner?,Schedule H,Schedule G,Schedule X,Schedule M,A,single,"Schedule H: Drugs which can be sold only with prescription. On the strip of drug a long red line is present. Rx is written on the top right corner. NRx- is written on Narcotic (habit forming) drugs. XRx- not available for general market, only given under special conditions where health care provider can give the drug. OTC- Over The Counter drugs can be given without prescription.",Pharmacology,AIIMS 2018,,Question: Which of the following drug must be sold only on production of a prescription by a registered medical practitioner? (A) Schedule H (B) Schedule G (C) Schedule X (D) Schedule M. The correct answer is  ," (A) Schedule H.
Explanation:
Schedule H drugs are those that are considered to be highly addictive and have a high potential for abuse. These drugs are available only on the prescription of a registered medical practitioner, as they are considered to be dangerous and can lead to serious health problems if used without proper medical supervision. Therefore, option (A) is the correct answer.
Schedule G drugs are those that have a potential for abuse, but are less dangerous than Schedule H drugs. These drugs can be sold without a prescription, but they are still subject to certain restrictions and regulations.
Schedule X drugs are those that have a high potential for abuse and are considered to be dangerous. These drugs are available only on the prescription of a registered medical practitioner, as they are considered to be highly addictive and can lead to serious health problems if used without proper medical supervision.
Schedule M drugs are those that are considered to be non-addictive and have a low potential for abuse. These drugs can be sold without a prescription, as they are considered to be safe and do not have the potential to lead to serious health problems.
Therefore, option (A) is the correct answer."
142,142,5a2c783a-6e8a-4e89-9bc9-4a84451145d9,All of the following are criteria for admission in upper GI bleed except:,Shock index >1.5,Hematocrit > 40%,Frank blood in nasogastric aspirate,BP <100 mm Hg,B,multi,"Answer- B. Hematocrit > 40%Hematocrit > 40% is not a criteria for admission in upper GI bleed.Shock index >1.5, Frank blood in nasogastric aspirate and BP <100 mm Hg are the indications of hospital admission and resuscitation in upper GI bleed.",Medicine,,,Question: All of the following are criteria for admission in upper GI bleed except: (A) Shock index >1.5 (B) Hematocrit > 40% (C) Frank blood in nasogastric aspirate (D) BP <100 mm Hg. The correct answer is  ," (A) Shock index >1.5.
Answer: (A) Shock index >1.5.
Explanation:
An upper GI bleed is a medical emergency that requires prompt evaluation and treatment. The criteria for admission to the hospital for upper GI bleed include:
* Shock index >1.5: This is a measure of the severity of shock, which is a common complication of upper GI bleeds. A shock index of >1.5 indicates that the patient is in a life-threatening situation and requires immediate medical attention.
* Hematocrit > 40%: This criterion is not specific to upper GI bleeds and can be seen in other types of bleeding as well.
* Frank blood in nasogastric aspirate: The presence of frank blood in the nasogastric aspirate is a criterion for diagnosing an upper GI bleed.
* BP <100 mm Hg: Hypotension (BP <100 mm Hg) is a common complication of upper GI bleeds and can be a criterion for admission to the hospital.
Therefore, the correct answer is (A) Shock index >1.5."
143,143,b771df48-ce3a-4e58-9dc8-54a42ee0e025,All of these are continuous variables except:,Height in cms,Weight in kg,Blood groups A. B. ABO,Age in years and months,C,multi,"Ans: C. Blood groups A. B. ABORef High Yield Statistics/p13).Blood groups (A, B, ABO) is a discrete variable.",Social & Preventive Medicine,,,Question: All of these are continuous variables except: (A) Height in cms (B) Weight in kg (C) Blood groups A. B. ABO (D) Age in years and months. The correct answer is  ," (D) Age in years and months.
Explanation:
All the options are continuous variables except for age, which is a categorical variable.

Height (A) is a continuous variable as it can take on any value within a range.
Weight (B) is also a continuous variable as it can take on any value within a range.
Blood groups (C) are categorical variables as they can only take on a limited number of distinct values (A, B, AB, or O).
Age (D) is a categorical variable as it can take on only certain discrete values, such as 1 year, 2 years, 3 years, etc."
144,144,da27e783-4c0b-4621-bc3d-938a109d8425,Use of lithium during pregnancy increases the risk of development of which of the following malformations in the baby?,Facial defects,Cardiac defects,Neural tube defects,Urogenital defects,B,single,Lithium causes Ebstein's anomaly (malformation in tricuspid valve of hea) if given in pregnancy. Other side effects of lithium includes: Leucocytosis I Tremors (most common adverse effect) Hypothyroidism Increase Urine (polyuria) Mothers (avoided in pregnancy).,Pharmacology,AIIMS 2018,,Question: Use of lithium during pregnancy increases the risk of development of which of the following malformations in the baby? (A) Facial defects (B) Cardiac defects (C) Neural tube defects (D) Urogenital defects. The correct answer is  ,"

Answer: (C) Neural tube defects.

Lithium, a commonly used medication for bipolar disorder, has been associated with an increased risk of neural tube defects in fetuses exposed to the drug during pregnancy. Neural tube defects are a group of congenital anomalies that affect the brain, spine, or spinal cord. The most common types of neural tube defects include anencephaly (absence of a major portion of the brain), spina bifida (incomplete closure of the spine), and encephalocele (protrusion of the brain or meninges through a skull defect).
While the exact mechanism by which lithium increases the risk of neural tube defects is not fully understood, it is thought to be related to the drug's effects on folate metabolism and the development of the neural tube. Folate is a nutrient that is critical for the proper formation of the neural tube during fetal development, and lithium can interfere with the absorption and utilization of folate by the developing fetus.
It is important to note that the risk of neural tube defects associated with lithium use during pregnancy is relatively low, and the benefits of the medication in treating bipolar disorder often outweigh the risks. However, pregnant women who are taking lithium should be closely monitored by their healthcare provider, and alternative medications may be considered if necessary."
145,145,cda050a3-e395-412f-8291-6159a9b67cb4,Single central pit is formed on the occlusal surface of,Lower 1st premolar,Upper 1st premolar,Lower 2nd premolar,Upper 2nd premolar,C,single,,Dental,,,Question: Single central pit is formed on the occlusal surface of (A) Lower 1st premolar (B) Upper 1st premolar (C) Lower 2nd premolar (D) Upper 2nd premolar. The correct answer is  ," (B) Upper 1st premolar.
Explanation: A single central pit is a characteristic feature of the occlusal surface of the upper 1st premolar tooth. It is not present on the occlusal surfaces of the lower 1st premolar, 2nd premolar, or any other tooth. Therefore, the answer is (B) Upper 1st premolar."
146,146,00aa1776-c20f-40c5-9412-11932a24f9bf,Strain is defined as:,An applied load or force,A deformation resulting from an applied load,An external force opposing an applied load,An internal force opposing an applied Load,B,single,"Strain—Change in dimension per unit initial dimension. For tensile and compressive strain, a change in length is measured relative to the initial reference length.
Strain, or the change in length per unit length, is the relative deformation of an object subjected to a stress. Strain may be either elastic, plastic, elastic and plastic, or viscoelastic. Elastic strain is reversible. The object fully recovers its original shape when the force is removed. 
Phillips dental materials 12th edition page no 48, 51",Dental,,,Question: Strain is defined as: (A) An applied load or force (B) A deformation resulting from an applied load (C) An external force opposing an applied load (D) An internal force opposing an applied Load. The correct answer is  ," (B) A deformation resulting from an applied load. Strain is a measure of how much a material has deformed or changed shape as a result of an applied load. It is defined as the change in length or volume of a material divided by its original length or volume. Strain is a measure of the amount of deformation that occurs in a material under an applied load, and it is typically expressed as a percentage of the original length or volume."
147,147,6f347bff-3755-44af-8c27-2b9450be9ac7,"In the following diagram, the structure marked with arrow has all of the following cell junctions except?",Zona occludens,Zona adherens,Macula adherens,Gap junction,A,multi,"The image given is cardiac muscle, as it is showing Intercalated discs which is typical for cardiac muscle & Perinuclear halo is seen. It is striated muscle (not as striated as skeletal muscle) Usually in a cell, the following cell junctions are seen in a sequence Surface of cell Tight junctions (most superficial) - Absent in cardiac muscle Zona adherens (20nm) Desmosomes/Macula adherens (25mm) - holds 2 cells together Gap Junctions - imp in cardiac muscle Gap Junctions are narrow gaps usually working as electrical synapses, they let pass ca+2 ions & maintain quick transfer of cardiac impulses & maintain rhythmic contractions If gap junctions are compromised, Problem occurs in electrical synapses which leads to arrhythmia. Tight junctions (Zona occludens) are absents in cardiac muscle. Hemi-desmosomes attach cell to basement membrane. Given structure is not skeletal muscle because skeletal muscle is more striated & there is no peri-nuclear halo in it. It is not smooth muscle because smooth muscle is spindle shaped and is not striated.",Anatomy,AIIMS 2017,,"Question: In the following diagram, the structure marked with arrow has all of the following cell junctions except? (A) Zona occludens (B) Zona adherens (C) Macula adherens (D) Gap junction. The correct answer is  ","

Answer: The structure marked with an arrow in the diagram has all of the following cell junctions except Zona occludens. Therefore, the correct answer is (A) Zona occludens."
148,148,22c33272-9d2f-4f91-9999-74e84b057914,If periodontal surgery is necessary in case of horizontal bone toss in upper anterior region. Which of the following procedure is the most appropriate?,Papilla preservation flap,Widman flap,Coronally displaced flap,Gingivectomy,A,multi,,Dental,,,Question: If periodontal surgery is necessary in case of horizontal bone toss in upper anterior region. Which of the following procedure is the most appropriate? (A) Papilla preservation flap (B) Widman flap (C) Coronally displaced flap (D) Gingivectomy. The correct answer is  ,"
Answer: (B) Widman flap.
Explanation:
In case of horizontal bone loss in the upper anterior region, the most appropriate surgical procedure is a Widman flap. This is because a Widman flap allows for the preservation of the buccal cortex, which is important for maintaining the structural integrity of the tooth and the surrounding bone.
A Papilla preservation flap is not the most appropriate choice for horizontal bone loss, as it does not allow for the preservation of the buccal cortex. A Widman flap, on the other hand, allows for the preservation of the buccal cortex while still providing adequate exposure for the tooth.
A Coronally displaced flap is not the most appropriate choice for horizontal bone loss, as it can lead to a higher risk of root resorption and tooth loss.
A Gingivectomy is not the most appropriate choice for horizontal bone loss, as it does not address the underlying bone loss and can lead to a higher risk of tooth loss.
In summary, a Widman flap is the most appropriate surgical procedure for horizontal bone loss in the upper anterior region, as it allows for the preservation of the buccal cortex while still providing adequate exposure for the tooth."
149,149,17360c6c-2c98-4fe2-aa85-487dcf4678df,Concentration of tropicamide:,0.01,0.02,0.03,0.04,A,single,"Answer- A. 0.01Tropicamide is the shoest acting mydriatic, concentration used is 0.5-l% drops (0.005-0.010).Tropicamide:Concentration used: 0.5-l% drops (0.005-0.010)Duration of action: Though effective for upto 3 hours, maximum effect appear 30 minutes after the last drop and lasts for only 10-15 minutesUsed in Adults.",Ophthalmology,,,Question: Concentration of tropicamide: (A) 0.01 (B) 0.02 (C) 0.03 (D) 0.04. The correct answer is  ," (A) 0.01.
Tropicamide is a mydriatic agent used to dilate the pupil for ophthalmic examination. The concentration of tropicamide used for this purpose is typically in the range of 0.01-0.04%. The correct answer is (A) 0.01."
150,150,62eef71a-8a02-417f-be29-d32ae8f55d41,Advantage of the submarginal falp for periradicular surgery is?,Crestal bone less,Bleeding lees,Gingival shrinking less,Flap closure easy,A,single,,Dental,,,Question: Advantage of the submarginal falp for periradicular surgery is? (A) Crestal bone less (B) Bleeding lees (C) Gingival shrinking less (D) Flap closure easy. The correct answer is  ," (B) Bleeding less.
The submarginal flap is a surgical technique used in periradicular surgery, which is a type of dental procedure used to treat conditions affecting the tissues surrounding a tooth. The submarginal flap is a modification of the marginal flap technique, which involves elevating a flap of tissue from the marginal zone of the tooth to access the periradicular tissues.
One advantage of the submarginal flap is that it results in less bleeding compared to the traditional marginal flap technique. This is because the submarginal flap is elevated from the submandibular area, which is a region with less vascularity and therefore less bleeding. This can make the surgery less invasive and reduce the risk of bleeding complications.
The other options are not correct advantages of the submarginal flap for periradicular surgery:
(A) Crestal bone less: The submarginal flap does not involve removing bone from the crestal area, unlike the traditional marginal flap technique.
(C) Gingival shrinking less: The submarginal flap does not result in less gingival shrinking compared to the traditional marginal flap technique. In fact, the submarginal flap can actually result in less shrinking of the gingiva due to the less invasive nature of the surgery.
(D) Flap closure easy: While the submarginal flap may be easier to close compared to the traditional marginal flap technique due to the location of the incision, this is not a significant advantage for periradicular surgery."
151,151,cf8f9c7e-0fd4-4d09-8638-0b61f05a55a1,Which type of cerebral palsy is commonly associated with scoliosis and other orthopedic problems –,Spastic quadriplegia,Anterior cerebral palsy,Spastic deplegia,Atonic cerebral palsy,A,single,"""Scollosis is common, occuring in 15 to 25 percent of the total body CP (spastic quadriplegia cp)"". 
Cerebral palsy (CP)

Cerebral palsy is defined as a non progressive neuromotor disorder of cerebral origin.
It has following features -


Static (nonprogressive)
Disorder of movement/motor disorder (but sometimes sensory involvement may occur)
Cerebral in origin 
Etiopathogenesis


CP is due to an insult of developing brain.
The insult results in maldevelopment and disorderly anatomic organization of the brain.
The insult may be prenatal (most of the cases), during delivery or in the postnatal period. Classification

CP may be classified into following types -",Pediatrics,,,Question: Which type of cerebral palsy is commonly associated with scoliosis and other orthopedic problems – (A) Spastic quadriplegia (B) Anterior cerebral palsy (C) Spastic deplegia (D) Atonic cerebral palsy. The correct answer is  ," (D) Atonic cerebral palsy.
Atonic cerebral palsy is the most common type of cerebral palsy associated with scoliosis and other orthopedic problems. People with atonic cerebral palsy have a higher risk of developing scoliosis and other spinal deformities, such as kyphosis and lordosis, due to the lack of muscle tone and control. Other orthopedic problems that may occur in people with atonic cerebral palsy include contractures, foot deformities, and joint dislocations.
Spastic quadriplegia, anterior cerebral palsy, and spastic deplegia are less likely to be associated with scoliosis and other orthopedic problems. Spastic quadriplegia is characterized by spasticity and weakness in all four limbs, while anterior cerebral palsy is characterized by weakness or paralysis of the muscles in the front of the body. Spastic deplegia is characterized by spasticity and weakness in the legs and feet, with less involvement of the arms and trunk.
It is important to note that each person with cerebral palsy is unique and may have a different combination of symptoms and characteristics. A thorough evaluation by a healthcare provider can help determine the specific type of cerebral palsy and develop an appropriate treatment plan."
152,152,abcdfc38-ab30-4fe8-8bd8-e8a7cb5b35e1,Which is not true about Juvenile periodontitis,Rate of bone loss is faster than normal periodontitis,There is predilection for female patients,The inflammatory process starts about simultaneously as the bone loss,Frequently bilateral symmetrical patterns of bone loss Occur,C,multi,,Dental,,,Question: Which is not true about Juvenile periodontitis (A) Rate of bone loss is faster than normal periodontitis (B) There is predilection for female patients (C) The inflammatory process starts about simultaneously as the bone loss (D) Frequently bilateral symmetrical patterns of bone loss Occur. The correct answer is  ," (D) Frequently bilateral symmetrical patterns of bone loss Occur.
Juvenile periodontitis is a rare inflammatory disease that affects the supporting structures of the teeth, including the periodontal ligament and alveolar bone. It typically affects children and adolescents, and the rate of bone loss is faster than in normal periodontitis. There is no predilection for female patients, and the inflammatory process usually starts simultaneously as the bone loss. However, the disease often presents with bilateral symmetrical patterns of bone loss. Therefore, the correct answer is (D) Frequently bilateral symmetrical patterns of bone loss Occur."
153,153,c1de4352-f68b-4953-a451-778c7f8b88b0,Which of the following occurs most commonly on tongue?,Lymphangioma and granular cell myoblastoma,Lipoma and fibroma,Neuroblastoma and lipoma,Lymphangioma and fibroma,A,single,,Pathology,,,Question: Which of the following occurs most commonly on tongue? (A) Lymphangioma and granular cell myoblastoma (B) Lipoma and fibroma (C) Neuroblastoma and lipoma (D) Lymphangioma and fibroma. The correct answer is  ," (B) Lipoma and fibroma.
Lipoma and fibroma are the most common benign tumors to occur on the tongue. Lipoma is a benign tumor that is composed of mature adipose tissue, while fibroma is a benign tumor that is composed of abnormal growth of fibrous connective tissue. Both of these tumors are relatively common on the tongue and can occur in both children and adults.
Lymphangioma and granular cell myoblastoma are rare benign tumors that can occur on the tongue. Lymphangioma is a benign tumor that is composed of abnormal growth of lymphatic vessels, while granular cell myoblastoma is a rare benign tumor that is composed of abnormal growth of muscle cells. Neuroblastoma is a rare malignant tumor that can occur on the tongue, but it is not as common as lipoma or fibroma.
Therefore, the answer is (B) Lipoma and fibroma."
154,154,13843218-9b0f-452b-868b-b8d3b317730a,True about Arrangement of hydroxyapatite crystals in Enamel rods?,In center orientation of hydroxyapatite crystal is 0 degree,Orientation of hydroxyapatite crystals at periphery is 45 degree,Both,,C,multi,,Dental,,,Question: True about Arrangement of hydroxyapatite crystals in Enamel rods? (A) In center orientation of hydroxyapatite crystal is 0 degree (B) Orientation of hydroxyapatite crystals at periphery is 45 degree (C) Both (D) nan. The correct answer is  ," (B) Orientation of hydroxyapatite crystals at periphery is 45 degree.
Explanation:
Hydroxyapatite crystals in enamel rods are arranged in a specific orientation, which is important for their mechanical properties and the formation of dental enamel. Studies have shown that the orientation of hydroxyapatite crystals in enamel rods is predominantly in the periphery, with an orientation of 45 degrees relative to the rod's long axis. This arrangement helps to maximize the crystal's strength and toughness, as well as its resistance to fracture and wear.
Option (A) is incorrect because the orientation of hydroxyapatite crystals in the center of the rod is not 0 degrees. In fact, the crystals in the center of the rod are oriented at a slightly different angle than those at the periphery, which helps to distribute the stress and strain more evenly throughout the rod.
Option (C) is also incorrect because the arrangement of hydroxyapatite crystals in enamel rods is not a random or nan-scale phenomenon. While the exact arrangement of crystals may vary slightly from rod to rod, the general orientation of hydroxyapatite crystals in enamel rods is well-established and widely accepted in the scientific community.
Therefore, the correct answer is (B) Orientation of hydroxyapatite crystals at periphery is 45 degree."
155,155,68d6b9df-1044-405b-9fe4-4f0b37dfd0f0,"At physiological pH, which of these amino acids has a positive charge?",Valine,Aspaic acid,Arginine,Isoleucine,C,single,"Ans: C. ArginineAt physiological pH, arginine has a positive charge.Negative Charged (Acidic Side Chains) - Aspaic acid & glutamic acid.Positive Charged (Basic Side Chains) - Histidine, arginine & lysine.",Biochemistry,,,"Question: At physiological pH, which of these amino acids has a positive charge? (A) Valine (B) Aspaic acid (C) Arginine (D) Isoleucine. The correct answer is  "," (B) Aspaic acid.
Explanation: At physiological pH, which is around 7.4, the amino acids that have a positive charge are those that have a hydrogen ion (H+) attached to their side chain. Aspartic acid (B) has a positively charged side chain, while the other amino acids do not.
Valine (A) has a neutral side chain, and Arginine (C) has a negatively charged side chain. Isoleucine (D) has a neutral side chain.
Therefore, the correct answer is (B) Aspaic acid."
156,156,19feb385-8320-4c7e-a010-3fd35c47efe4,Angle between rake face and radial line is called:,Edge angle.,Rake angle.,Clearance angle.,Spiral angle.,B,multi,,Dental,,,Question: Angle between rake face and radial line is called: (A) Edge angle. (B) Rake angle. (C) Clearance angle. (D) Spiral angle.. The correct answer is  , (B) Rake angle. The rake angle is the angle between the face of a cutting tool and a radial line drawn from the center of the tool to the workpiece. It is an important factor in determining the cutting action and the resulting surface finish.
157,157,ea10b02c-4402-4a16-9bec-03cc31e8587d,The organ most resistant to GA is,Spinal Cord,Medulla oblonagata,Medullary cortex,Cerebrum,B,single,,Pharmacology,,,Question: The organ most resistant to GA is (A) Spinal Cord (B) Medulla oblonagata (C) Medullary cortex (D) Cerebrum. The correct answer is  ," (B) Medulla oblongata.

Explanation:

The medulla oblongata is the most resistant to general anesthesia (GA) because it contains a high concentration of brain stem nuclei that are responsible for controlling vital functions such as breathing, heart rate, and blood pressure. These nuclei are rich in cholinergic receptors, which are less susceptible to the effects of GA than other types of receptors found in the brain. As a result, the medulla oblongata is often more difficult to anesthetize than other parts of the brain, and may require higher doses of anesthetic agents to achieve adequate anesthesia.




"
158,158,f6a4c53d-ea90-441f-891d-3f23344c6775,Card test is done for which of the following muscle?,Palmar interossei,Dorsal interossei,Lumbricals,Adductor pollicis,A,single,Ans: A. Palmar interosseiNerveTestTestMuscleUlnar nerveBook testAdductor pollicis Card testPalmar interossei Froment's signFlexor pollicis substitutes for adduc?tor pollicis,Anatomy,,,Question: Card test is done for which of the following muscle? (A) Palmar interossei (B) Dorsal interossei (C) Lumbricals (D) Adductor pollicis. The correct answer is  ," (A) Palmar interossei.

Palmar interossei muscles are located in the hand and are responsible for flexion of the fingers. They are small muscles that are located between the bones of the hand, and are involved in the opposition of the fingers.
Dorsal interossei muscles are located in the hand and are responsible for extension of the fingers. They are small muscles that are located between the bones of the hand, and are involved in the extension of the fingers.
Lumbricals are located in the hand and are responsible for flexion of the fingers. They are small muscles that are located in the hand, and are involved in the flexion of the fingers.
Adductor pollicis is a muscle located in the forearm and is responsible for adduction of the thumb. It is a large muscle that is located in the forearm, and is involved in the adduction of the thumb.





"
159,159,59803c06-dfe8-48b6-b2de-7f032e738213,Find faulty statement regarding muscle spindle:,Central zone has no actin and myosin,Type 1 nuclear bag fibres has low myosin ATPase activity,Peripheral zone has no actin and myosin,Type 2 nuclear bag has high level of myosin ATPase activity,C,multi,"Each muscle spindle has three essential elements: 
(1) A group of specialized intrafusal muscle fibers  with contractile polar ends and a noncontractile center. 
(2) Large diameter myelinated afferent nerves (types Ia and II) originating in the central portion of the intrafusal fibers. 
(3) Small diameter myelinated efferent nerves supplying the polar contractile regions of the intrafusal fibers.",Physiology,,,Question: Find faulty statement regarding muscle spindle: (A) Central zone has no actin and myosin (B) Type 1 nuclear bag fibres has low myosin ATPase activity (C) Peripheral zone has no actin and myosin (D) Type 2 nuclear bag has high level of myosin ATPase activity. The correct answer is  ,"
My answer: (B) Type 1 nuclear bag fibres has low myosin ATPase activity.
Explanation: Muscle spindle is a specialized structure found in skeletal muscles that helps in detecting changes in muscle length and velocity of contraction. The central zone of muscle spindle contains only a few myofibers with a high concentration of actin and myosin filaments, while the peripheral zone contains many more myofibers with a lower concentration of actin and myosin filaments. Type 1 nuclear bag fibers are found in the peripheral zone and have a low level of myosin ATPase activity, which is responsible for the contraction of muscles. Therefore, option (B) is the correct answer."
160,160,d96e31f1-b13f-4127-bc59-7e3147a02ab7,Technique of root coverage called as:,Langer and langer technique,Pouch and tunnel technique.,Azis technique.,Bruno technique,B,multi,,Dental,,,Question: Technique of root coverage called as: (A) Langer and langer technique (B) Pouch and tunnel technique. (C) Azis technique. (D) Bruno technique. The correct answer is  ," (B) Pouch and tunnel technique.
Root coverage is a surgical procedure that aims to restore the gum tissue around a tooth that has been lost due to periodontal disease or other factors. The Pouch and Tunnel technique is a specific method of root coverage that involves creating a pouch of donor tissue and attaching it to the roots of the tooth. This technique can help to restore the gum line and prevent further tooth loss."
161,161,c0a989ca-6fdf-4c72-9407-44ef61bfceee,In heart patient the worst prognosis during pregnancy is seen in:,Mitral regurgitation,Mitral valve prolapse,Aortic stenosis,Pulmonary stenosis,C,single,"Remember 3 ‘FUNDAS: Highest maternal mortality is associated with Class III of clarkes cl;assification, so any of those diseases are given they will have the worst prognosis. Amongst them also Eisenmengers syndrome has the worst prognosis.
↓
2. Stenotic heart disease have a worse prognosis than regurgitant lesions.
Among stenotic disease-(in alphabetical order)-Aortic stenosiswill have the worst> Mitral stenosis>Pulmonary stenosis.
↓
3. Congenital heart disease and Mitral valve prolapse have the best prognosis
So now this question becomes very easy-Mitarl vave prolapse has the best prognosis, so it is ruled out; Regurgitant lesions have a better prognosis than stenotic lesions so mitral regurgitation is also ruled out. Now we are left with 2 options, aortic stenosis and pulmonary stenosis-as I said go alphabetically, aortic stenosis will have a worse prognosis than pulmonary.
Let’s consider each of the options one by one and see what Williams has to say about each of them.
Option “a” Mitral regurgitation
“M R is well-tolerated during pregnancy probably due to decreased systemic vascular resistance which actually results in less regurgitation. Heart failure only rarely develops during pregnany.”
Williams Obs. 22/e, p 1026, 23/e, p 966
Option “b” Mitral valve prolapse
“Pregnant women with mitral valve prolapse rarely have cardiac complications. In fact pregnancy induced hypervolemia may improve alignment of mitral valve.”
Williams Obs. 22/e, p 1030, 23/e, p 971
Option “c” Aortic stenosis
“Although mild to moderate degree of aortic stenosis is well tolerated but severe degree is life threatening.”
Williams Obs. 22/e, p 1026, 23/e, p 967
Option “d” Pulmonary stenosis
“It is well tolerated during pregnancy and rarely causes any complication.”
Williams Obs. 22/e, p 1027, 23/e, p 968",Gynaecology & Obstetrics,,,Question: In heart patient the worst prognosis during pregnancy is seen in: (A) Mitral regurgitation (B) Mitral valve prolapse (C) Aortic stenosis (D) Pulmonary stenosis. The correct answer is  ," (D) Pulmonary stenosis.
Pulmonary stenosis is a condition in which the blood flow through the pulmonary valve is obstructed, leading to a decrease in blood flow to the lungs. This can lead to a decrease in oxygenation of the blood, which can have serious consequences for both the mother and the fetus. Pulmonary stenosis is often associated with other heart conditions, such as atrial fibrillation or ventricular aneurysm, and can increase the risk of complications during pregnancy, such as heart failure, arrhythmias, and stroke.
Mitral regurgitation and mitral valve prolapse are conditions in which the mitral valve does not close properly, allowing blood to flow backward into the left atrium. While these conditions can increase the risk of complications during pregnancy, they are generally less severe than pulmonary stenosis and do not have the same potential for serious consequences.
Aortic stenosis is a condition in which the aortic valve is narrowed or blocked, which can lead to a decrease in blood flow to the body. While this can increase the risk of complications during pregnancy, it is generally less severe than pulmonary stenosis and does not have the same potential for serious consequences.
In summary, pulmonary stenosis is the worst prognosis during pregnancy for heart patients, as it can lead to a decrease in oxygenation of the blood and increase the risk of serious complications."
162,162,470f224d-77cb-41dc-81e2-52f4cdce2acd,causes of thyroid storm,ineffective pre-operative hormonal control,manhandling of the thyroid gland during surgery,parathyroid tail left after surgery,Poor Preoperative preparation of the patient,D,single,"Answer- D. Poor Preoperative preparation of the patientThis is a rare but life-threatening complication of thyrotoxicosis.The most prominent signs are fever, agitation, delirium, tachycardia or atrial fibrillation and, in the older patient, cardiac failure. Thyrotoxic crisis is a medical emergency and has a moality of 10% despite early recognition and treatment.It is most commonly precipitated by an infection in a patient with previously unrecognized or inadequately treated thyrotoxicosis.It may also develop in known thyrotoxicosis sholy after thyroidectomy in an ill-prepared patient or within a few days of 131I therapy, when acute radiation damage may lead to a transient rise in serum thyroid hormone levels.Patients should be rehydrated and given propranolol, either orally (80 mg 4 times daily) or intravenously (1-5 mg 4 times daily). Sodium iodate (500 mg per day orally) will restore serum T3 levels to normal in 48-72 hours.This is a radiographic contrast medium that not only inhibits the release of thyroid hormones but also reduces the conversion of T4 to T3 and is, therefore, more effective than potassium iodide or Lugol's solution.",Medicine,,,Question: causes of thyroid storm (A) ineffective pre-operative hormonal control (B) manhandling of the thyroid gland during surgery (C) parathyroid tail left after surgery (D) Poor Preoperative preparation of the patient. The correct answer is  ," (B) manhandling of the thyroid gland during surgery.
Thyroid storm, also known as thyrotoxic crisis, is a life-threatening condition that occurs in some patients with hyperthyroidism. It is characterized by fever, tachycardia, tachypnea, and changes in mental status. The causes of thyroid storm include:
(A) Ineffective pre-operative hormonal control: This can occur if the patient is not adequately treated before surgery, leading to a buildup of thyroid hormones in the body.
(B) Manhandling of the thyroid gland during surgery: This can cause trauma to the gland, leading to an overproduction of thyroid hormones and the development of thyroid storm.
(C) Parathyroid tail left after surgery: This is a rare complication that can occur if the parathyroid gland is not properly removed during surgery.
(D) Poor preoperative preparation of the patient: This can include factors such as dehydration, anemia, or electrolyte imbalances, which can increase the risk of thyroid storm during surgery.
The correct answer is (B) manhandling of the thyroid gland during surgery."
163,163,791f4a8a-a060-4a91-9810-7bdd4f4d500e,Heart of controlled trial?,Blinding,Experiment,Randomization,Intervention,C,single,,Dental,,,Question: Heart of controlled trial? (A) Blinding (B) Experiment (C) Randomization (D) Intervention. The correct answer is  ," (B) Experiment.

Explanation:

A controlled trial is a study design that compares the outcomes of a treatment or intervention with those of a control group, which does not receive the treatment or intervention. The goal of a controlled trial is to determine whether the treatment or intervention is effective and safe, and to estimate the magnitude of its effects.
Blinding is a technique used in some controlled trials to reduce bias. In a blinded trial, neither the participants nor the researchers know which group the participants are in (treatment or control). This is done to prevent researchers from unconsciously influencing the results or to prevent participants from knowing which group they are in and therefore changing their behavior.
Experiment is a broader term that refers to any study that manipulates one or more variables and measures the effect on a dependent variable. A controlled trial is a type of experiment, but not all experiments are controlled trials.
Randomization is the process of randomly assigning participants to different groups in a study. This is done to ensure that the groups are similar in terms of all relevant factors, which helps to reduce bias in the results.
Intervention is the term used to describe the treatment or action being studied in a controlled trial. It is the variable being manipulated and measured in the study.
Therefore, the correct answer is (B) Experiment."
